-0.539 (+/-0.256) for {'max_features': 'auto', 'criterion': 'gini', 'n_estimators': 1700, 'max_depth': None}
-0.541 (+/-0.255) for {'max_features': 'auto', 'criterion': 'gini', 'n_estimators': 1900, 'max_depth': None}
-0.629 (+/-0.467) for {'max_features': 'sqrt', 'criterion': 'gini', 'n_estimators': 100, 'max_depth': None}
-0.555 (+/-0.282) for {'max_features': 'sqrt', 'criterion': 'gini', 'n_estimators': 300, 'max_depth': None}
-0.549 (+/-0.278) for {'max_features': 'sqrt', 'criterion': 'gini', 'n_estimators': 500, 'max_depth': None}
-0.545 (+/-0.266) for {'max_features': 'sqrt', 'criterion': 'gini', 'n_estimators': 700, 'max_depth': None}
-0.544 (+/-0.260) for {'max_features': 'sqrt', 'criterion': 'gini', 'n_estimators': 900, 'max_depth': None}
-0.541 (+/-0.260) for {'max_features': 'sqrt', 'criterion': 'gini', 'n_estimators': 1100, 'max_depth': None}
-0.541 (+/-0.259) for {'max_features': 'sqrt', 'criterion': 'gini', 'n_estimators': 1300, 'max_depth': None}
-0.539 (+/-0.254) for {'max_features': 'sqrt', 'criterion': 'gini', 'n_estimators': 1500, 'max_depth': None}
-0.539 (+/-0.256) for {'max_features': 'sqrt', 'criterion': 'gini', 'n_estimators': 1700, 'max_depth': None}
-0.541 (+/-0.254) for {'max_features': 'sqrt', 'criterion': 'gini', 'n_estimators': 1900, 'max_depth': None}
-0.609 (+/-0.411) for {'max_features': 'log2', 'criterion': 'gini', 'n_estimators': 100, 'max_depth': None}
-0.554 (+/-0.275) for {'max_features': 'log2', 'criterion': 'gini', 'n_estimators': 300, 'max_depth': None}
-0.550 (+/-0.266) for {'max_features': 'log2', 'criterion': 'gini', 'n_estimators': 500, 'max_depth': None}
