RUN,BATCH_SIZE,LR,val_loss,val_accuracy,val_AUC,accuracy,NEURONS,AUC,loss,EPOCHS
10,512,0.0001,0.4389334342360212,0.82792366,0.8163628,0.8749179,[1024; 1024; 1024; 1024; 1024],0.91563255,0.2979111008049516,500
10,512,0.0001,0.43927420746170537,0.8288783,0.8190828,0.8833323,[1024; 1024; 1024; 1024; 1024],0.9227114,0.2839227236739319,550
10,512,0.0001,0.4502830858162309,0.8300716,0.81990755,0.89019513,[1024; 1024; 1024; 1024; 1024],0.9348962,0.2633939164933494,600
11,512,0.00030000000000000003,0.6444290018309272,0.7536993,0.48592046,0.6708241,[1024; 1024; 1024; 1024; 1024],0.48750353,0.991297989907623,0
11,512,0.00030000000000000003,0.4985336542983044,0.8116945,0.80600965,0.7945933,[1024; 1024; 1024; 1024; 1024],0.7698102,0.46315555810971026,50
11,512,0.00030000000000000003,0.4272771067721747,0.8102625,0.8288634,0.8209107,[1024; 1024; 1024; 1024; 1024],0.82006085,0.41591649523724405,100
11,512,0.00030000000000000003,0.4047242395775415,0.83102626,0.83548826,0.8431103,[1024; 1024; 1024; 1024; 1024],0.8651928,0.3675411356237443,150
11,512,0.00030000000000000003,0.4137733168704413,0.82553697,0.8308511,0.8640568,[1024; 1024; 1024; 1024; 1024],0.8962082,0.32615067237899076,200
11,512,0.00030000000000000003,0.43716232853459286,0.83556086,0.8291664,0.88136303,[1024; 1024; 1024; 1024; 1024],0.92327935,0.2836921077561548,250
11,512,0.00030000000000000003,0.44357205452953147,0.8353222,0.83114696,0.8932983,[1024; 1024; 1024; 1024; 1024],0.9363095,0.2613003376920034,300
11,512,0.00030000000000000003,0.4647662372463927,0.8367542,0.82734716,0.90111595,[1024; 1024; 1024; 1024; 1024],0.9454128,0.24164179490532703,350
11,512,0.00030000000000000003,0.5009709160766055,0.8348449,0.83034724,0.90827715,[1024; 1024; 1024; 1024; 1024],0.9547948,0.22185589539223613,400
11,512,0.00030000000000000003,0.4940943235998222,0.8417661,0.8296614,0.91436416,[1024; 1024; 1024; 1024; 1024],0.96077096,0.20619333165193604,450
11,512,0.00030000000000000003,0.48702857972329444,0.8405728,0.83235645,0.9151399,[1024; 1024; 1024; 1024; 1024],0.96240205,0.20208220744254646,500
11,512,0.00030000000000000003,0.51984096303191,0.84009546,0.83153826,0.92504627,[1024; 1024; 1024; 1024; 1024],0.96885043,0.1848666742724152,550
11,512,0.00030000000000000003,0.5102927252045679,0.83866346,0.8334178,0.92713493,[1024; 1024; 1024; 1024; 1024],0.97046465,0.18052601979048033,600
12,512,0.001,0.6537873466714754,0.7190931,0.57852405,0.6964254,[512; 1024; 1024; 512],0.49638566,1.2113623840289405,0
12,512,0.001,0.4582527343726101,0.8071599,0.80723375,0.8117205,[512; 1024; 1024; 512],0.8103824,0.42945006889916193,50
12,512,0.001,0.4216708805509854,0.8221957,0.82819694,0.8366653,[512; 1024; 1024; 512],0.85865176,0.37822649909949585,100
12,512,0.001,0.4195683065348423,0.8293556,0.8317053,0.85606015,[512; 1024; 1024; 512],0.88791686,0.33931229063062684,150
12,512,0.001,0.4210982727264732,0.8281623,0.8303638,0.8592827,[512; 1024; 1024; 512],0.90038997,0.3244240469908226,200
12,512,0.001,0.42348233666226515,0.8317422,0.83024687,0.87205344,[512; 1024; 1024; 512],0.9147509,0.3005252422830146,250
12,512,0.001,0.4194363254351377,0.83150357,0.8297987,0.8826759,[512; 1024; 1024; 512],0.92518866,0.2830718077953529,300
12,512,0.001,0.43795843893986613,0.83102626,0.82765466,0.88661456,[512; 1024; 1024; 512],0.9328238,0.27049424414661166,350
12,512,0.001,0.4282026569854673,0.82911694,0.83089054,0.8860178,[512; 1024; 1024; 512],0.93292147,0.27034148442977834,400
12,512,0.001,0.43001100661361985,0.82911694,0.82566965,0.89120966,[512; 1024; 1024; 512],0.9386288,0.25930535955236855,450
12,512,0.001,0.4341741322617542,0.8312649,0.8274278,0.89371604,[512; 1024; 1024; 512],0.94176185,0.25283043585753695,500
12,512,0.001,0.44239325773744426,0.8286396,0.823146,0.9004595,[512; 1024; 1024; 512],0.94360286,0.2477515470055355,550
12,512,0.001,0.4435532035861778,0.8317422,0.82462054,0.8966402,[512; 1024; 1024; 512],0.944021,0.24737646442780156,600
13,512,0.003,3.729229730296533,0.7582339,0.5,0.7423763,[512; 1024; 1024; 512],0.50073695,3.7588117568697914,0
13,512,0.003,3.7292297533986676,0.7582339,0.5,0.75574386,[512; 1024; 1024; 512],0.5,3.767638217152933,50
13,512,0.003,3.729229869933572,0.7582339,0.5,0.75574386,[512; 1024; 1024; 512],0.5,3.7676382527087022,100
13,512,0.003,3.729229761364921,0.7582339,0.5,0.75574386,[512; 1024; 1024; 512],0.5,3.7676382520115306,150
13,512,0.003,3.7292298116661198,0.7582339,0.5,0.75574386,[512; 1024; 1024; 512],0.5,3.7676382906974597,200
13,512,0.003,3.729229731320766,0.7582339,0.5,0.75574386,[512; 1024; 1024; 512],0.5,3.7676382071648775,250
